"A", "Vetiquette", "Anna Karlhede, F-14", ""
"λ9", "Madrigal", "A. de la Halle", ""
"λ10", "Glunt nr. 25 - Examenssexa", "G. Wennerberg", ""
"λ11", "Sommarpsalm", "Text: Carl David af Wirsén", ""
"λ12", "Uti vår hage", "Svensk folkvisa", ""
"λ13", "Värmlandsvisan", "", ""
"μ1", "Jag har aldrig vart på snusen", "", "Åh, hur saligt att få vandra"
"μ2", "Handelsvisa", "Team kangaroo Gerhards-gasque 1977", "Åh, hur saligt att få vandra"
"μ3", "Fysikhatarvisan", "DKM hösten 2000", "Åh, hur saligt att få vandra"
"μπ", "Mattehatarvisan", "Felix, Alex och Tuffs
Stuggasquen 2021", "Åh, hur saligt att få vandra"
"μ4", "Datas visa", "Mattis Castegren (D)
Ettans fest 2001", "Åh, hur saligt att få vandra"
"μ5", "Hyllningsvisa", "V - LTH", "Sit on my face"
"μ6", "En ska gå Teknis", "Tjejn∅llan, FanFar", "Husvagn"
"μ7", "Teknologvisa", "", "Lumberjack song"
"μ8", "Teknologen och ekonomen", "Uppsala teknolog- och naturvetarkårs sångbok", "Katyuscha"
"ν1", "Lingonben", "Povel Ramel", ""
"ν2", "Älska dig själv", "Fysikalen Wagner 1986", "Mermaid"
"ν3", "Balladen om den kaxiga myran", "Stefan Demert", ""
"ν4", "Nikolajev", "", "Rysslands nationalsång"
"ν5", "Danse Macabre", "Carl-Erik Carlstedt, CTH", "Vårvindar friska"
"ν6", "Katten", "", "Glad såsom fågeln"
"ν7", "Undulaten", "", "Med en enkel tulipan"
"ν8", "Bakfyllosofen", "Fysiksektionen, LTH", "34:an"
"ν9", "Mellansup", "Fysiksektionen, LTH", "Fredagsmys"
"ν10", "Kanta Studjosi", "magister Ludvig Hagwald, Grönköping", "Studentsången"
"ν11", "Indialand", "Karl Lindén", ""
"ν12", "Zwampen", "Electric Banana Band", ""
"ν13", "Lumberjack song", "Monty Python's Flying Circus", ""
"ν14", "Under en filt i Madrid", "Claes Eriksson", ""
"ν15", "Hallen luta", "", "Hallelujah"
"ν16", "Styrman Karlssons äventyr med porslinspjäsen", "", ""
"ν17", "Sjung om Fru Svenssons lyckliga karl", "Povel Ramel", "Studentsången"
"ν18", "Jesus lever", "", "Sånt är livet"
"ν37,5", "Temperaturen", "", ""
"o1", "Konglig Fysiks Paradhymn", "Dum-Dum 1977", "Katyuscha"
"o2", "Årskursernas hederssång", "", ""
"o3", "De Brevitate Vitae", "Biskop Stada 1267,
C.W. Kindleben 1781", ""
"o4", "Överföhssång", "Skriven till Ettans Fest 1990", "Kungssången"
"o5", "Studentsången", "Herman Sätherberg", ""
"o6", "När Fumla blev fem", "F-12 Fumla
 Jubilariegyckel, Ettans fest 2017", "När vi två blir en (Gyllene Tider)"
"o∞", "O gamla klang och jubeltid", "Ur "Alt Heidelberg - Rückblick eines alten Burschen"
Svensk text: August Lindh", ""
"σ20.1", "Brev från nØllan", "Alex Hamben, F-19
Ettans fest 2019", "Brev från Kolonien"
"σ20.2", "van der Waals", "Felix Bengtsson, Alex Hamben
 & Marve Grönblad Vesterinen, F-19
Tentagasque 1 2019 - Gasque för fulla segel!", "Wondervall"
"σ20.3", "Potatiskanon", "Frida Grönberg & Rebecca Remling, F-19
Tentagasque 2 2020 - Sagan om Kons", "Punschkanon (gökvisa)"
"σ20.4", "Sjörövar-π", "Nicole Hedblom F-17 & Björn Magnusson
Tentagasque 4 2020 - TGZoom", "Sjörövarfabbe"
"σ20.5", "Numme, numme, hej!", "William Laius Lundgren
 & Gustav von Knorring, F-18
Tentagasque 4 2020 - TGZoom", "Dragostea din tei"
"σ19.1", "Balladen om enhörningen och nubben hon tog", "Anton Åkesson, F-14, Stuggasquen 2018", "Balladen om Theobald Thor"
"σ19.2", "nØllan mer", "Yashar Honarmandi, F-17, Stuggasquen 2017", "Better Now"
"σ19.3", "Julius Caesar", "nØllespexet 2018", "Jag vill vara din, Margareta"
